review,category,rating,account_age_days,verified_purchase,helpful_votes,sentiment,label
"Poor suction power and noisy",Automobile,1,470,Yes,5,negative,real
"Best automobile accessory buy now",Automobile,5,1,No,0,positive,fake
"Very durable and easy to use",Automobile,4,620,Yes,15,positive,real
"Beautiful necklace and elegant design",Jewelry,5,920,Yes,36,positive,real
"Looks fake and cheap",Jewelry,1,390,Yes,4,negative,real
"Luxury jewelry lowest price",Jewelry,5,1,No,0,positive,fake
"Packaging and quality are amazing",Jewelry,4,710,Yes,18,positive,real
"Fresh groceries delivered quickly",Groceries,5,500,Yes,24,positive,real
"Vegetables were spoiled",Groceries,1,280,Yes,3,negative,real
"Best grocery deal hurry now",Groceries,5,2,No,0,positive,fake
"Very fresh fruits and vegetables",Groceries,4,620,Yes,14,positive,real
"My child loved this toy set",Toys,5,670,Yes,26,positive,real
"Plastic quality is very poor",Toys,1,340,Yes,5,negative,real
"Top selling toy buy immediately",Toys,5,1,No,0,positive,fake
"Safe and fun for kids",Toys,4,590,Yes,15,positive,real
"This dog food is nutritious",Pet Supplies,5,780,Yes,30,positive,real
"My pet refused to eat it",Pet Supplies,1,410,Yes,4,negative,real
"Best pet product available now",Pet Supplies,5,2,No,0,positive,fake
"Packaging and quality are good",Pet Supplies,4,630,Yes,16,positive,real
"Vacuum cleaner works perfectly",Home,5,860,Yes,35,positive,real
"Stopped working after month",Home,1,390,Yes,5,negative,real
"Top home appliance buy today",Home,5,1,No,0,positive,fake
"Very useful for daily cleaning",Home,4,710,Yes,19,positive,real
"Wireless earbuds have amazing sound",Electronics,5,940,Yes,40,positive,real
"Battery drains too quickly",Electronics,2,510,Yes,6,negative,real
"Best earbuds online limited offer",Electronics,5,2,No,0,positive,fake
"Noise cancellation is excellent",Electronics,4,680,Yes,17,positive,real
"This smartwatch tracks health accurately",Mobile Phones,5,780,Yes,29,positive,real
"Screen cracked very easily",Mobile Phones,1,370,Yes,5,negative,real
"Must buy smartwatch right now",Mobile Phones,5,1,No,0,positive,fake
"Very sleek and responsive watch",Mobile Phones,4,620,Yes,16,positive,real
"Gaming keyboard keys feel smooth",Gaming,5,850,Yes,31,positive,real
"Stopped responding within days",Gaming,1,420,Yes,4,negative,real
"Top gaming accessory buy now",Gaming,5,2,No,0,positive,fake
"RGB effects look beautiful",Gaming,4,690,Yes,18,positive,real
"This jacket is warm and stylish",Fashion,5,760,Yes,28,positive,real
"Color faded after washing",Fashion,1,340,Yes,4,negative,real
"Limited fashion sale order now",Fashion,5,1,No,0,positive,fake
"Perfect fitting and soft material",Fashion,4,610,Yes,17,positive,real
"This shampoo reduced hair fall",Beauty,5,870,Yes,32,positive,real
"Caused dryness and itching",Beauty,1,410,Yes,5,negative,real
"Best shampoo on internet",Beauty,5,2,No,0,positive,fake
"Hair feels soft and healthy",Beauty,4,730,Yes,19,positive,real
"Excellent microwave performance",Kitchen,5,920,Yes,37,positive,real
"Heating is uneven and slow",Kitchen,1,390,Yes,5,negative,real
"Top microwave lowest price",Kitchen,5,1,No,0,positive,fake
"Easy controls and spacious design",Kitchen,4,700,Yes,18,positive,real
"This study table is sturdy",Furniture,5,860,Yes,33,positive,real
"Leg broke after few weeks",Furniture,1,350,Yes,4,negative,real
"Premium furniture limited stock",Furniture,5,1,No,0,positive,fake
"Very spacious and stylish",Furniture,4,640,Yes,16,positive,real
"Useful guide for machine learning",Books,5,910,Yes,35,positive,real
"Printing quality is terrible",Books,2,400,Yes,5,negative,real
"Best educational book buy now",Books,5,2,No,0,positive,fake
"Examples are easy to understand",Books,4,720,Yes,17,positive,real
